Node_ID	X(mm)	Y(mm)	Z(mm)
1	24.095877629	13.019930767	37.200000000
2	21.618687626	11.729661884	37.200000000
3	19.114814825	10.531885843	37.200000000
4	16.639484856	9.354072336	37.200000000
5	14.218092146	8.175263307	37.200000000
6	11.862215818	7.004124353	37.200000000
7	9.586144955	5.844455628	37.200000000
8	7.411511714	4.686131239	37.200000000
9	5.364451910	3.512456448	37.200000000
10	3.448318664	2.347932418	37.200000000
11	1.674833227	1.200508231	37.200000000
12	0.050587664	0.084742825	37.200000000
13	-1.420133916	-0.983617607	37.200000000
14	-2.732840401	-1.991235795	37.200000000
15	-3.874058268	-2.937628308	37.200000000
16	-4.826413525	-3.825367139	37.200000000
17	-5.570352106	-4.654383073	37.200000000
18	-6.083944000	-5.416854030	37.200000000
19	-6.348133352	-6.085678549	37.200000000
20	-6.370034167	-6.600002520	37.200000000
21	-6.278092175	-6.897040379	37.200000000
22	-6.226245643	-6.987353711	37.200000000
23	-6.162136094	-7.072992426	37.200000000
24	-5.922524959	-7.284404552	37.200000000
25	-5.448159589	-7.522865343	37.200000000
26	-4.731831196	-7.707706341	37.200000000
27	-3.790459028	-7.785340078	37.200000000
28	-2.648105301	-7.723881836	37.200000000
29	-1.330222501	-7.498566565	37.200000000
30	0.138116524	-7.096001844	37.200000000
31	1.734526749	-6.513051192	37.200000000
32	3.439938499	-5.753324751	37.200000000
33	5.235125506	-4.818743628	37.200000000
34	7.088213855	-3.690715447	37.200000000
35	8.970055121	-2.363358706	37.200000000
36	10.849851435	-0.833854170	37.200000000
37	12.705924809	0.886353896	37.200000000
38	14.527145244	2.775184539	37.200000000
39	16.378055905	4.744733964	37.200000000
40	18.290032664	6.744897921	37.200000000
41	20.247569486	8.770889390	37.200000000
42	22.214929124	10.839649422	37.200000000
43	24.095877629	13.019930767	37.200000000
1	25.140976370	12.856010465	39.750000000
2	22.581448696	11.578306346	39.750000000
3	20.011340345	10.365102852	39.750000000
4	17.475745485	9.160734404	39.750000000
5	14.996464281	7.952646831	39.750000000
6	12.582847270	6.755089913	39.750000000
7	10.248098899	5.574785788	39.750000000
8	8.013756966	4.402150243	39.750000000
9	5.912684079	3.208153358	39.750000000
10	3.937651048	2.036502982	39.750000000
11	2.102319196	0.891281907	39.750000000
12	0.415511088	-0.216696616	39.750000000
13	-1.118163893	-1.272072325	39.750000000
14	-2.496591441	-2.258162676	39.750000000
15	-3.707140033	-3.174790504	39.750000000
16	-4.732834581	-4.026911897	39.750000000
17	-5.553952682	-4.819048868	39.750000000
18	-6.148772381	-5.549222227	39.750000000
19	-6.494675324	-6.199729829	39.750000000
20	-6.569920056	-6.720676611	39.750000000
21	-6.496670976	-7.030306367	39.750000000
22	-6.446334575	-7.124297156	39.750000000
23	-6.381624313	-7.212310054	39.750000000
24	-6.134492473	-7.425287421	39.750000000
25	-5.644729739	-7.657813823	39.750000000
26	-4.908114257	-7.825990522	39.750000000
27	-3.944758767	-7.877613259	39.750000000
28	-2.780396707	-7.780218203	39.750000000
29	-1.441786019	-7.510229576	39.750000000
30	0.046168873	-7.058262966	39.750000000
