Node_ID	X(mm)	Y(mm)	Z(mm)
27	-0.006711719	-0.005101986	0.037812727
28	-0.006209531	-0.005102438	0.037812727
29	-0.005606143	-0.005022346	0.037812727
30	-0.004915810	-0.004847710	0.037812727
31	-0.004152419	-0.004571411	0.037812727
32	-0.003328616	-0.004190795	0.037812727
33	-0.002455797	-0.003705887	0.037812727
34	-0.001544331	-0.003118451	0.037812727
35	-0.000603738	-0.002431519	0.037812727
36	0.000357202	-0.001649160	0.037812727
37	0.001330409	-0.000776360	0.037812727
38	0.002308505	0.000181069	0.037812727
39	0.003284825	0.001216589	0.037812727
40	0.004253390	0.002323114	0.037812727
41	0.005208796	0.003493315	0.037812727
42	0.006145930	0.004720187	0.037812727
43	0.007059447	0.005997971	0.037812727
44	0.007942940	0.007323578	0.037812727
45	0.008763101	0.008674681	0.037812727
1	0.009192030	0.008265298	0.040198182
2	0.007875754	0.007443703	0.040198182
3	0.006585815	0.006601371	0.040198182
4	0.005315785	0.005759886	0.040198182
5	0.004065134	0.004932812	0.040198182
6	0.002837777	0.004127496	0.040198182
7	0.001640046	0.003347650	0.040198182
8	0.000479390	0.002595049	0.040198182
9	-0.000636374	0.001870529	0.040198182
10	-0.001699448	0.001174521	0.040198182
11	-0.002702231	0.000507307	0.040198182
12	-0.003637373	-0.000130878	0.040198182
13	-0.004497750	-0.000739810	0.040198182
14	-0.005276386	-0.001319276	0.040198182
15	-0.005966273	-0.001869079	0.040198182
16	-0.006560064	-0.002388985	0.040198182
17	-0.007049502	-0.002878509	0.040198182
18	-0.007424496	-0.003336085	0.040198182
19	-0.007672147	-0.003756303	0.040198182
20	-0.007778775	-0.004122134	0.040198182
21	-0.007764112	-0.004394956	0.040198182
22	-0.007705121	-0.004548955	0.040198182
23	-0.007676910	-0.004596397	0.040198182
24	-0.007643601	-0.004642791	0.040198182
25	-0.007522525	-0.004763114	0.040198182
26	-0.007274573	-0.004899759	0.040198182
27	-0.006889722	-0.004988236	0.040198182
28	-0.006385068	-0.005008356	0.040198182
29	-0.005775682	-0.004950314	0.040198182
30	-0.005075517	-0.004799891	0.040198182
